category,title,resource,region,statusWord,message
Storage Accounts,Network Access Default Action,N/A,global,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,eastasia,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,southeastasia,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,centralus,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,eastus,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,eastus2,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,westus,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,northcentralus,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,southcentralus,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,northeurope,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,westeurope,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,germanycentral,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,germanynortheast,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,germanywestcentral,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,germanynorth,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,switzerlandnorth,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,switzerlandwest,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,norwaywest,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,norwayeast,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,japanwest,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,japaneast,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,brazilsouth,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,australiaeast,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,australiasoutheast,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,southindia,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,centralindia,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,westindia,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,canadacentral,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,canadaeast,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,uksouth,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,ukwest,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,westcentralus,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,westus2,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,koreacentral,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,koreasouth,OK,No storage accounts found
Storage Accounts,Storage Accounts HTTPS,N/A,francecentral,OK,No storage accounts found
